Family,Month,Count,Sum (BTC),Sum (USD),Used Addresses,Known Addresses
7ev3n,2016-04,1,0.001112,0.51,1,1
7ev3n,2017-11,1,0.000049,0.49,1,1
AES-NI,2014-06,11,0.004065,2.40,1,1
AES-NI,2014-07,3,0.006408,4.05,1,1
AES-NI,2016-04,26,0.348810,150.57,1,1
AES-NI,2016-05,14,0.265000,122.74,1,1
AES-NI,2016-06,20,0.360052,233.66,1,1
AES-NI,2016-07,15,0.572466,380.01,1,1
AES-NI,2016-08,48,9.768940,5647.34,1,1
AES-NI,2016-09,47,4.612474,2761.87,1,1
AES-NI,2016-10,41,4.232481,2693.03,1,1
AES-NI,2016-11,33,6.415705,4582.63,1,1
AES-NI,2016-12,24,10.196215,8470.78,1,1
AES-NI,2017-01,16,4.837646,4467.46,1,1
AES-NI,2017-02,25,7.570798,8077.39,1,1
AES-NI,2017-03,36,9.828720,10681.37,1,1
AES-NI,2017-04,41,17.919306,21592.51,1,1
AES-NI,2017-05,26,8.861257,15820.13,1,1
AES-NI,2017-06,14,3.117767,8538.61,1,1
AES-NI,2017-07,13,3.127483,8545.16,1,1
AES-NI,2017-08,1,0.003769,16.52,1,1
AES-NI,2017-09,2,0.009016,32.74,1,1
AES-NI,2017-10,2,0.002702,15.28,1,1
AES-NI,2017-11,7,0.060451,553.73,1,1
AES-NI,2017-12,4,0.009957,145.69,1,1
AES-NI,2018-01,2,0.002873,32.97,1,1
AES-NI,2018-02,6,0.220193,1983.40,1,1
AES-NI,2018-03,6,0.211729,1664.84,1,1
AES-NI,2018-04,2,0.030126,250.90,1,1
AES-NI,2018-05,8,0.317355,2579.83,1,1
AES-NI,2018-06,8,0.388970,2516.68,1,1
AES-NI,2018-07,5,0.216146,1406.33,1,1
AES-NI,2018-08,3,0.036049,227.42,1,1
AES-NI,2018-09,7,0.245307,1605.28,1,1
AES-NI,2018-10,3,0.523972,3431.81,1,1
AES-NI,2018-11,4,0.326055,1428.98,1,1
AES-NI,2018-12,2,0.111511,461.00,1,1
AES-NI,2019-01,12,1.160718,4322.93,1,1
AES-NI,2019-02,3,0.214704,788.79,1,1
AES-NI,2019-03,8,0.505066,1978.95,1,1
AES-NI,2019-04,6,0.473415,2491.24,1,1
AES-NI,2019-05,14,0.824522,5747.89,1,1
AES-NI,2019-06,2,0.128500,1184.92,1,1
AES-NI,2019-07,6,0.163004,1747.82,1,1
AES-NI,2019-08,4,0.248852,2690.46,1,1
AES-NI,2019-09,1,0.031299,305.41,1,1
AES-NI,2019-10,8,0.270223,2280.20,1,1
AES-NI,2019-11,2,0.174000,1413.96,1,1
AES-NI,2019-12,10,0.708046,5126.90,1,1
AES-NI,2020-01,6,0.355140,2814.62,1,1
AES-NI,2020-02,11,0.546765,5174.40,1,1
AES-NI,2020-03,7,0.582050,3676.67,1,1
AES-NI,2020-04,7,0.542433,3887.16,1,1
AES-NI,2020-05,7,0.592000,5520.49,1,1
AES-NI,2020-06,5,0.195150,1873.66,1,1
AES-NI,2020-07,9,0.352908,3254.36,1,1
AES-NI,2020-08,4,0.316000,3644.78,1,1
AES-NI,2020-09,1,0.076500,783.54,1,1
AES-NI,2020-10,2,0.030335,335.64,1,1
AES-NI,2020-11,2,0.110000,1825.88,1,1
AES-NI,2020-12,3,0.123000,2473.46,1,1
AES-NI,2021-01,8,0.128481,4214.68,1,1
AES-NI,2021-02,3,0.018665,912.71,1,1
AES-NI,2021-03,10,0.133201,7300.21,1,1
AES-NI,2021-04,8,0.111154,6427.45,1,1
AES-NI,2021-05,4,0.020060,1150.38,1,1
Akira,2023-07,1,2.414070,75985.39,1,1
Akira,2023-08,2,3.954758,109655.12,1,2
Akira,2023-09,3,42.251627,1096850.51,2,4
Akira,2023-11,2,2.986000,106115.39,1,5
Ako,2020-01,6,1.630767,14110.00,1,1
Ako,2020-02,6,2.037084,19332.00,1,1
AlbDecryptor,2020-04,1,0.006680,49.63,1,1
AlbDecryptor,2020-11,11,0.187324,2941.10,1,1
AlbDecryptor,2020-12,4,0.007550,193.97,1,1
AlbDecryptor,2021-01,4,0.003396,116.51,1,1
AlbDecryptor,2021-02,1,0.000104,4.82,1,1
AlbDecryptor,2021-03,4,0.000604,33.30,1,1
AlbDecryptor,2021-04,3,0.042704,2604.64,1,1
AlbDecryptor,2021-06,1,0.005360,215.57,1,1
APT,2016-09,5,2.026210,1229.22,1,1
APT,2016-10,4,10.579791,6456.95,1,1
APT,2016-12,2,0.239945,187.51,1,1
Avaddon,2021-05,1,0.024100,1184.53,1,1
AvosLocker,2021-09,3,3.395608,157527.10,1,1
Bagli,2021-04,1,0.001700,99.02,1,1
Bagli,2021-06,1,0.000029,1.00,1,1
Bitpaymer / DoppelPaymer,2020-08,2,90.000371,1088792.44,1,1
Black Basta,2022-10,2,15.613649,299117.62,1,1
Black Basta,2022-12,2,29.590000,509938.51,1,2
BlackCat,2024-03,8,1401.695345,88286897.03,1,1
Black Kingdom,2020-03,1,0.550350,5020.59,1,1
Black Kingdom,2021-03,1,0.173000,10009.59,1,2
Black Mamba,2017-06,1,0.039900,103.33,1,1
BlackMatter,2021-07,2,96.386312,4070928.60,1,1
BlackRouter,2018-12,1,0.001050,3.93,1,1
BlackRouter,2019-05,1,0.001235,10.77,1,1
Black Ruby,2018-02,11,0.525219,4370.90,1,1
Bucbi,2016-04,1,0.008960,3.77,1,1
Chimera,2015-11,2,0.000500,0.19,1,1
ChupaCabra,2021-05,15,0.094973,3614.16,1,1
ChupaCabra,2021-06,7,0.021393,765.32,1,1
ChupaCabra,2021-07,3,0.025091,846.22,1,1
ChupaCabra,2021-08,4,0.005191,210.89,1,1
ChupaCabra,2021-09,2,0.023544,1064.22,1,1
ComradeCircle,2016-10,1,2.033200,1297.10,1,1
Conti,2017-12,1,0.166500,1940.92,1,1
Conti,2018-12,1,70.000000,227698.74,1,2
Conti,2019-05,2,48.000000,365195.26,1,3
Conti,2019-06,1,42.000869,495228.76,1,4
Conti,2019-08,2,120.000181,1247962.16,1,5
Conti,2019-09,7,136.101171,1184648.77,3,8
Conti,2019-10,11,936.004223,7735544.22,8,16
Conti,2019-11,6,533.003014,4429193.32,5,20
Conti,2019-12,9,675.602127,4896679.53,6,26
Conti,2020-01,12,699.005857,6000210.66,9,35
Conti,2020-03,7,1732.203892,13805769.23,7,42
Conti,2020-04,1,335.001000,2275871.01,1,43
Conti,2020-05,1,10.000000,94610.59,1,44
Conti,2020-07,2,61.733541,596496.33,2,46
Conti,2020-08,1,25.000771,287217.94,1,47
Conti,2020-09,11,2507.762469,26820117.71,11,58
Conti,2020-10,10,496.219392,6211939.12,8,66
Conti,2020-12,6,75.361444,1471169.92,3,68
Conti,2021-01,5,70.579286,2426876.72,5,73
Conti,2021-02,2,52.517997,2438465.47,2,75
Conti,2021-03,4,102.182856,5656864.92,2,77
Conti,2021-04,1,2.936724,170894.92,1,78
Conti,2021-05,9,88.319526,4433223.28,8,86
Conti,2021-06,10,50.775652,1850320.39,6,91
Conti,2021-07,1,36.068263,1195873.83,1,92
Conti,2021-08,6,53.137965,2465329.79,5,96
Conti,2021-09,1,4.637973,203100.98,1,97
Conti,2021-10,1,10.435000,598980.45,1,98
Conti,2021-12,1,19.538199,1118167.76,1,99
Conti,2022-06,1,41.326165,855889.57,1,100
CryptConsole,2016-04,1,0.013363,6.00,1,1
CryptConsole,2016-05,2,0.012293,5.52,1,1
CryptConsole,2017-01,8,1.750159,1654.49,2,2
CryptConsole,2017-02,2,1.003000,1028.15,2,3
CryptConsole,2017-03,4,0.902901,1136.13,2,5
CryptConsole,2017-09,1,0.131900,416.14,1,6
Cryptohitman,2016-04,1,0.102947,45.78,1,1
Cryptohitman,2016-05,3,0.003988,1.78,1,1
Cryptohitman,2018-12,1,0.006615,22.99,1,1
Cryptohitman,2019-09,1,0.010449,101.66,1,1
CryptoHost,2016-06,1,0.002000,1.35,1,1
CryptoLocker,2013-09,29,54.908300,7231.42,1,1
CryptoLocker,2013-10,24,45.952400,6056.82,1,2
CryptoLocker,2014-08,1,0.000100,0.06,1,2
CryptoTorLocker2015,2014-09,78,1.348008,548.05,2,2
CryptoTorLocker2015,2014-10,119,0.776064,278.55,2,2
CryptoTorLocker2015,2014-11,8,0.071377,27.83,2,3
CryptoTorLocker2015,2014-12,26,0.091940,33.36,2,3
CryptoTorLocker2015,2015-01,118,13.001351,2894.75,6,7
CryptoTorLocker2015,2015-02,41,1.072084,241.42,5,7
CryptoTorLocker2015,2015-06,4,0.000494,0.12,2,7
CryptoTorLocker2015,2015-07,56,0.416858,122.13,3,7
CryptoTorLocker2015,2015-08,2,0.000300,0.08,1,7
CryptoTorLocker2015,2016-08,1,0.000140,0.08,1,7
Cryptowall,2016-04,1,0.022088,9.90,1,1
Cryptowall,2016-06,2,0.407970,265.67,1,1
CryptXXX,2016-06,81,94.858154,60585.36,1,1
CryptXXX,2016-08,1,0.000010,0.01,1,1
CTB-Locker,2016-03,1,0.000100,0.04,1,1
CTB-Locker,2016-04,1,0.000100,0.04,1,1
Cuba,2020-02,1,26.000971,228405.37,1,1
Cuba,2020-03,1,67.871000,457097.86,1,2
Cuba,2020-04,1,112.500000,798320.76,1,3
Cuba,2020-05,2,141.271500,1317507.99,2,5
Cuba,2020-06,1,117.760000,1162302.36,1,6
Cuba,2020-07,1,51.320000,496629.45,1,7
Cuba,2020-10,1,318.119363,4309411.09,1,8
Cuba,2020-12,1,37.793444,692419.15,1,9
Cuba,2021-04,2,388.192724,21475933.07,2,11
Cuba,2021-09,1,37.235489,1590573.25,1,12
Cuba,2021-10,2,73.517522,4228642.10,2,14
Cuba,2021-11,1,50.040000,3252361.33,1,15
Cuba,2022-04,2,254.261225,9977495.53,1,16
Cuba,2022-06,1,342.155921,10163533.13,1,17
darkangels,2022-05,2,38.140123,1514100.77,1,1
DarkSide,2021-02,1,5.208567,249725.07,1,1
DarkSide,2021-05,3,153.500000,8861592.38,2,3
DeadBolt,2022-01,13,0.183328,6882.39,6,6
DeadBolt,2022-02,5,0.060211,2436.17,2,8
DeadBolt,2022-03,2,0.030055,1337.45,1,9
DeadBolt,2022-04,1,0.030000,1296.20,1,9
Decryptiomega,2019-08,1,0.050000,597.10,1,1
DecryptIomega,2019-07,1,0.010000,106.66,1,1
DMALocker,2015-12,1,0.600000,253.37,1,1
DMALocker,2016-01,1,0.551210,238.72,1,1
DMALockerv3,2016-09,4,40.000000,24442.66,1,1
DMALockerv3,2016-10,17,129.015469,83055.43,2,2
DMALockerv3,2016-11,24,139.994131,101775.06,3,3
DMALockerv3,2016-12,27,198.999849,162331.13,2,3
DMALockerv3,2017-01,27,263.002584,239002.64,5,6
DMALockerv3,2017-02,9,70.070437,77273.10,1,6
DMALockerv3,2017-03,24,170.015204,182186.09,5,6
DMALockerv3,2017-04,11,47.000017,56961.65,4,7
DMALockerv3,2017-05,7,52.023082,84926.21,3,7
DMALockerv3,2017-06,1,3.000000,7442.52,1,8
DMALockerv3,2017-07,2,6.000000,14476.05,1,8
DMALockerv3,2017-08,3,7.500000,26237.31,2,9
DMALockerv3,2017-09,2,3.993240,15085.49,1,9
Ecovector,2016-05,1,2.000000,886.38,1,1
EDA2,2014-10,1,0.100000,38.36,1,1
EDA2,2016-03,5,1.510264,629.49,1,2
Egregor,2020-10,2,69.241323,899907.04,2,2
Egregor,2020-11,6,123.497069,2127006.78,6,8
Egregor,2020-12,1,5.217000,100122.74,1,9
Encrpt3d,2019-12,1,0.000067,0.49,1,1
Encrpt3d,2020-03,1,0.110618,1009.12,1,1
Encrpt3d,2021-06,1,0.000029,1.00,1,1
Exotic,2016-10,1,0.006383,4.40,1,1
File-Locker,2012-03,1,0.004076,0.02,1,1
File-Locker,2012-08,1,0.000500,0.01,1,1
File-Locker,2012-10,1,0.000500,0.01,1,1
File-Locker,2012-12,1,0.010000,0.13,1,1
File-Locker,2013-06,1,0.001000,0.10,1,1
File-Locker,2014-03,1,0.005000,2.80,1,1
File-Locker,2014-09,1,0.000010,0.00,1,1
File-Locker,2014-12,1,0.008900,2.95,1,1
File-Locker,2016-08,2,0.001514,0.88,1,1
File-Locker,2016-10,1,0.000400,0.26,1,1
File-Locker,2016-12,1,0.001074,0.90,1,1
File-Locker,2017-01,1,0.001000,0.91,1,1
File-Locker,2017-02,44,0.218384,256.16,1,1
File-Locker,2017-03,234,1.926267,2410.72,1,1
File-Locker,2017-04,2,0.002268,2.72,1,1
File-Locker,2017-05,4,0.091088,137.02,1,1
File-Locker,2017-06,6,0.003695,10.42,1,1
File-Locker,2017-07,5,0.006023,16.30,1,1
File-Locker,2017-08,3,0.000371,1.49,1,1
File-Locker,2017-09,1,0.152320,598.02,1,1
File-Locker,2017-10,1,0.000238,1.01,1,1
File-Locker,2017-11,13,0.154188,1538.02,1,1
File-Locker,2017-12,1,0.003847,63.96,1,1
File-Locker,2018-01,3,0.000388,5.05,1,1
File-Locker,2018-02,2,0.000017,0.17,1,1
File-Locker,2018-03,1,0.000021,0.19,1,1
File-Locker,2018-04,1,0.000100,0.88,1,1
File-Locker,2018-05,1,0.000100,0.84,1,1
File-Locker,2018-06,3,0.009541,56.40,1,1
File-Locker,2018-07,1,0.000045,0.31,1,1
File-Locker,2018-08,2,0.000060,0.46,1,1
File-Locker,2018-10,1,0.000100,0.63,1,1
File-Locker,2018-12,5,0.005000,18.68,1,1
File-Locker,2019-01,1,0.000956,3.54,1,1
File-Locker,2019-02,2,0.001223,4.89,1,1
File-Locker,2019-03,1,0.000148,0.57,1,1
File-Locker,2019-04,1,0.000010,0.05,1,1
File-Locker,2019-05,5,0.013129,104.83,1,1
File-Locker,2019-06,3,0.008530,73.25,1,1
File-Locker,2019-07,2,0.004259,50.33,1,1
File-Locker,2019-09,2,0.000194,2.00,1,1
File-Locker,2019-10,2,0.001964,15.91,1,1
File-Locker,2019-11,2,0.000481,3.60,1,1
File-Locker,2019-12,2,0.000271,2.05,1,1
File-Locker,2020-01,3,0.002628,24.26,1,1
File-Locker,2020-02,1,0.000223,2.20,1,1
File-Locker,2020-03,1,0.010169,89.37,1,1
