Month,Count,Sum (BTC),Sum (USD),Average (BTC),Average (USD)
2012-03,1,0.004076,0.02,0.004076,0.02
2012-08,1,0.000500,0.01,0.000500,0.01
2012-10,1,0.000500,0.01,0.000500,0.01
2012-12,1,0.010000,0.13,0.010000,0.13
2013-06,1,0.001000,0.10,0.001000,0.10
2013-09,29,54.908300,7231.42,1.893390,249.36
2013-10,444,29703.445125,3456177.22,66.899651,7784.18
2013-11,27,0.004472,1.80,0.000166,0.07
2013-12,18,1.034725,730.51,0.057485,40.58
2014-01,21,0.002183,1.91,0.000104,0.09
2014-02,18,0.001940,1.28,0.000108,0.07
2014-03,6,0.006160,3.55,0.001027,0.59
2014-04,6,0.201137,105.99,0.033523,17.67
2014-05,3,0.066895,32.21,0.022298,10.74
2014-06,22,0.008323,4.97,0.000378,0.23
2014-07,5,0.064602,41.57,0.012920,8.31
2014-08,4,0.030022,17.28,0.007506,4.32
2014-09,87,1.371034,558.90,0.015759,6.42
2014-10,124,0.937920,339.08,0.007564,2.73
2014-11,16,5.570954,2052.39,0.348185,128.27
2014-12,28,0.100900,36.33,0.003604,1.30
2015-01,120,13.021362,2899.42,0.108511,24.16
2015-02,47,1.072830,241.60,0.022826,5.14
2015-03,9,0.465552,128.09,0.051728,14.23
2015-04,5,0.002042,0.49,0.000408,0.10
2015-05,16,67.008883,15908.44,4.188055,994.28
2015-06,16,118.979102,26797.28,7.436194,1674.83
2015-07,62,113.415110,33532.55,1.829276,540.85
2015-08,9,68.794630,17937.80,7.643848,1993.09
2015-09,14,90.678570,21206.26,6.477041,1514.73
2015-10,25,15.287534,4044.95,0.611501,161.80
2015-11,30,19.603989,7047.98,0.653466,234.93
2015-12,9,5.382162,2441.59,0.598018,271.29
2016-01,23,17.062438,7163.15,0.741845,311.44
2016-02,1274,7110.705975,3098570.80,5.581402,2432.16
2016-03,3884,13438.627285,5604607.79,3.459997,1443.00
2016-04,1063,1694.414774,728840.30,1.593993,685.64
2016-05,886,1400.379051,646346.93,1.580563,729.51
2016-06,464,729.887286,453145.82,1.573033,976.61
2016-07,888,1417.672090,939647.35,1.596478,1058.16
2016-08,1228,1579.781737,916488.16,1.286467,746.33
2016-09,1133,2093.514981,1265309.33,1.847763,1116.78
2016-10,667,1162.244933,726256.65,1.742496,1088.84
2016-11,205,312.492525,226047.36,1.524354,1102.67
2016-12,149,360.483590,291634.57,2.419353,1957.28
2017-01,137,363.706201,335019.95,2.654790,2445.40
2017-02,172,248.732894,273146.46,1.446121,1588.06
2017-03,358,283.008866,304750.34,0.790528,851.26
2017-04,105,222.182539,264887.41,2.116024,2522.74
2017-05,406,131.607159,224598.07,0.324156,553.20
2017-06,119,56.359032,148425.18,0.473605,1247.27
2017-07,67,25.704996,65884.67,0.383657,983.35
2017-08,58,23.422105,93372.87,0.403829,1609.88
2017-09,52,18.887867,78294.71,0.363228,1505.67
2017-10,34,6.070527,26496.71,0.178545,779.32
2017-11,56,5.881378,52033.75,0.105025,929.17
2017-12,35,8.950334,119843.96,0.255724,3424.11
2018-01,31,3.401135,48468.80,0.109714,1563.51
2018-02,39,1.113038,10223.11,0.028539,262.13
2018-03,16,0.323573,2859.97,0.020223,178.75
2018-04,23,0.378136,2656.94,0.016441,115.52
2018-05,29,2.723699,23887.17,0.093921,823.70
2018-06,52,0.711175,4630.59,0.013676,89.05
2018-07,50,0.562498,3722.49,0.011250,74.45
2018-08,35,65.466543,426503.01,1.870473,12185.80
2018-09,49,76.426189,494057.05,1.559718,10082.80
2018-10,76,153.048946,989785.77,2.013802,13023.50
2018-11,146,180.965491,918095.88,1.239490,6288.33
2018-12,176,359.705496,1385216.34,2.043781,7870.55
2019-01,225,67.502688,246848.43,0.300012,1097.10
2019-02,121,86.293851,302352.78,0.713172,2498.78
2019-03,162,50.716296,204318.61,0.313064,1261.23
2019-04,311,119.035042,611886.27,0.382749,1967.48
2019-05,306,116.171986,901067.70,0.379647,2944.67
2019-06,102,53.431378,598385.49,0.523837,5866.52
2019-07,187,75.556899,759832.00,0.404048,4063.27
2019-08,359,299.165153,3141252.78,0.833329,8750.01
2019-09,365,374.419343,3385551.23,1.025806,9275.48
2019-10,276,1148.108401,9484549.35,4.159813,34364.31
2019-11,112,561.312599,4648590.88,5.011720,41505.28
2019-12,233,885.753421,6430425.35,3.801517,27598.39
2020-01,64,703.610244,6040027.03,10.993910,94375.42
2020-02,51,33.668468,303260.03,0.660166,5946.28
2020-03,69,1887.686377,14790000.60,27.357774,214347.83
2020-04,177,1012.186020,7204004.62,5.718565,40700.59
2020-05,161,648.137096,5950732.29,4.025696,36961.07
2020-06,139,1363.206335,13037134.99,9.807240,93792.34
2020-07,177,1132.928761,11451406.01,6.400727,64697.21
2020-08,67,219.214689,2599262.02,3.271861,38794.96
2020-09,45,2523.619727,26988516.63,56.080438,599744.81
2020-10,55,902.214284,11647477.74,16.403896,211772.32
2020-11,72,429.794274,6483763.99,5.969365,90052.28
2020-12,53,131.656967,2557556.51,2.484094,48255.78
2021-01,40,71.699070,2465926.53,1.792477,61648.16
2021-02,36,79.734162,3702078.99,2.214838,102835.53
2021-03,62,134.801753,7533807.88,2.174222,121513.03
2021-04,869,413.394404,22860046.41,0.475713,26306.15
2021-05,185,337.175225,18390768.47,1.822569,99409.56
2021-06,123,374.283158,13701873.16,3.042953,111397.34
2021-07,81,184.077987,6968577.93,2.272568,86031.83
2021-08,58,56.234886,2602924.18,0.969567,44878.00
2021-09,38,58.189812,2557513.72,1.531311,67302.99
2021-10,20,86.884404,5005560.84,4.344220,250278.04
2021-11,24,63.703613,4060262.96,2.654317,169177.62
2021-12,10,29.333980,1587600.94,2.933398,158760.09
2022-01,25,64.563218,2617752.50,2.582529,104710.10
2022-02,10,21.953283,883435.76,2.195328,88343.58
2022-03,6,9.977558,412457.40,1.662926,68742.90
2022-04,3,254.291225,9978791.73,84.763742,3326263.91
2022-05,3,38.652683,1529301.04,12.884228,509767.01
2022-06,3,396.175164,11414881.63,132.058388,3804960.54
2022-09,3,53.107144,1024454.42,17.702381,341484.81
2022-10,4,26.545179,510788.64,6.636295,127697.16
2022-11,2,35.040000,584730.62,17.520000,292365.31
2022-12,3,29.602000,510140.62,9.867333,170046.87
2023-02,4,2.740747,64184.23,0.685187,16046.06
2023-04,1,0.687462,20262.10,0.687462,20262.10
2023-07,1,2.414070,75985.39,2.414070,75985.39
2023-08,2,3.954758,109655.12,1.977379,54827.56
2023-09,3,42.251627,1096850.51,14.083876,365616.84
2023-11,2,2.986000,106115.39,1.493000,53057.70
2024-03,8,1401.695345,88286897.03,175.211918,11035862.13
